dTime	dValue	-1
1	1.166295686	-1
2	1.166295686	-1
3	1.166295686	-1
4	1.166295686	-1
5	1.166295686	-1
6	1.166295686	-1
7	1.166295686	-1
8	1.166295686	-1
9	1.166295686	-1
10	1.166295686	-1
11	1.166295686	-1
12	1.166295686	-1
13	1.166295686	-1
14	1.166295686	-1
15	1.166295686	-1
16	1.166295686	-1
17	1.166295686	-1
18	1.166295686	-1
19	1.166295686	-1
20	1.166295686	-1
21	1.166295686	-1
22	1.166295686	-1
23	1.166295686	-1
24	1.166295686	-1
25	1.166295686	-1
26	1.166295686	-1
27	1.166295686	-1
28	1.166295686	-1
29	1.166295686	-1
30	1.166295686	-1
31	1.166295686	-1
32	1.118368114	-1
33	1.118368114	-1
34	1.118368114	-1
35	1.118368114	-1
36	1.118368114	-1
37	1.118368114	-1
38	1.118368114	-1
39	1.118368114	-1
40	1.118368114	-1
41	1.118368114	-1
42	1.118368114	-1
43	1.118368114	-1
44	1.118368114	-1
45	1.118368114	-1
46	1.118368114	-1
47	1.118368114	-1
48	1.118368114	-1
49	1.118368114	-1
50	1.118368114	-1
51	1.118368114	-1
52	1.118368114	-1
53	1.118368114	-1
54	1.118368114	-1
55	1.118368114	-1
56	1.118368114	-1
57	1.118368114	-1
58	1.118368114	-1
59	1.118368114	-1
60	2.323405682	-1
61	2.323405682	-1
62	2.323405682	-1
63	2.323405682	-1
64	2.323405682	-1
65	2.323405682	-1
66	2.323405682	-1
67	2.323405682	-1
68	2.323405682	-1
69	2.323405682	-1
70	2.323405682	-1
71	2.323405682	-1
72	2.323405682	-1
73	2.323405682	-1
74	2.323405682	-1
75	2.323405682	-1
76	2.323405682	-1
77	2.323405682	-1
78	2.323405682	-1
79	2.323405682	-1
80	2.323405682	-1
81	2.323405682	-1
82	2.323405682	-1
83	2.323405682	-1
84	2.323405682	-1
85	2.323405682	-1
86	2.323405682	-1
87	2.323405682	-1
88	2.323405682	-1
89	2.323405682	-1
90	2.323405682	-1
91	2.138738212	-1
92	2.138738212	-1
93	2.138738212	-1
94	2.138738212	-1
95	2.138738212	-1
96	2.138738212	-1
97	2.138738212	-1
98	2.138738212	-1
99	2.138738212	-1
100	2.138738212	-1
101	2.138738212	-1
102	2.138738212	-1
103	2.138738212	-1
104	2.138738212	-1
105	2.138738212	-1
106	2.138738212	-1
107	2.138738212	-1
108	2.138738212	-1
109	2.138738212	-1
110	2.138738212	-1
111	2.138738212	-1
112	2.138738212	-1
113	2.138738212	-1
114	2.138738212	-1
