RunId Time	_sDepthW_	_sDVeg_	_dDepthW_	_mTemp_	_mQOut_	_mQIn_	_mQEv_	_mPLoad_	_mNLoad_	_uQEv_	_uQIn_	_uQOut_	_vTranDepthW_	_oPTotW_	_oNTotW_	_bPorS_	_aDVeg_	_oChla_	_vDredDepthW_	_tDIMS_	_tDHumS_	_tDDetS_	_vDeltaS_	_vDeltaW_	-1
0	547	2.47363	0.0388589	0.00859854	22.4775	5.92821	18.8789	4.35212	0.841098	8.40804	4.35212	18.8789	5.92821	0.00859854	64.6887	530.132	0.847947	0.0388604	323.695	0	0.202782	3.01298	7.08977	4.79923e-005	0	-1
0	911	2.7441	0.0389019	0.00841694	22.2222	5.81437	18.5834	4.35212	0.841058	8.38198	4.35212	18.5834	5.81437	0.00841694	75.4214	707.105	0.847947	0.0389031	290.582	0	0.192878	3.69551	2.53942	2.97967e-005	0	-1
0	1275	3.01457	0.0389563	0.00838627	22.2222	5.81412	18.5826	4.35242	0.841058	8.38192	4.36229	18.5543	5.80579	0.00838627	79.5771	824.38	0.847947	0.0389575	263.503	0	0.179603	4.08191	-0.087345	1.92374e-005	0	-1
0	1639	3.28558	0.0389996	0.00751462	22.2224	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	81.377	901.906	0.847947	0.0390008	240.98	0	0.169772	4.29326	-1.67543	1.27442e-005	0	-1
0	2003	3.55688	0.0390295	0.00751462	22.3778	5.56192	17.7277	4.6512	0.840971	8.32418	4.6512	17.7277	5.56192	0.00751462	82.331	952.957	0.847947	0.0390308	221.904	0	0.162221	4.44729	-2.93138	7.54791e-006	0	-1
0	2370.5	3.85411	0.0387737	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	82.1856	981.416	0.847947	0.0387751	209.022	0	0.15705	4.47616	-3.70074	4.05577e-006	0	-1
0	2734.5	4.12438	0.0387799	0.00850784	22.35	5.87135	18.7313	4.35212	0.841078	8.39502	4.35212	18.7313	5.87135	0.00850784	82.8039	1012.68	0.847947	0.0387814	194.807	0	0.15652	4.47351	-4.02725	2.50811e-006	0	-1
0	3102	4.42586	0.0384491	0.008592	22.4775	5.92821	18.8789	4.35212	0.841098	8.40804	4.35212	18.8682	5.92411	0.008592	82.6394	1029.85	0.847947	0.0384504	183.799	0	0.154543	4.4734	-4.61956	-2.80023e-007	0	-1
0	3466	4.55703	0.0384907	0.00841694	22.2222	5.81437	18.5834	4.35212	0.841058	8.38198	4.35212	18.5834	5.81437	0.00841694	83.4205	1053.65	0.847947	0.0384919	177.81	0	0.157028	4.36655	-4.106	1.63706e-006	0	-1
0	3830	4.54852	0.0385687	0.00838085	22.2222	5.81412	18.5826	4.35242	0.841058	8.38192	4.36409	18.5492	5.80427	0.00838085	84.1808	1075.4	0.847947	0.03857	177.142	0	0.15833	4.34398	-3.8935	2.53271e-006	0	-1
