RunId	Time	_sDepthW_	_sDVeg_	_dDepthW_	_mTemp_	_mQOut_	_mQIn_	_mQEv_	_mPLoad_	_mNLoad_	_vTranDepthW_	_oPTotW_	_oNTotW_	_bPorS_	_aDVeg_	_oChla_	_vDredDepthW_	_tDIMS_	_tDHumS_	_tDDetS_	_vDeltaS_	_vDeltaW_	-1
0	0	2.5	1	-0.00342078	10.2	0.371138	1.1663	4.21594	0.839166	7.13575	-3.42E-03	5.50E-02	6.50E-01	8.48E-01	1.00E+00	43.9585	0	-3.27004	0.0332425	-1.19E-01	-9.00511E-06	0	-1
0	7	2.47551	0.920114	-0.00342078	10.6285	0.371138	1.1663	4.21594	0.839166	7.13575	-3.42E-03	2.36E+00	2.02E+01	8.48E-01	9.20E-01	90.114	0	-1.81606	0.0404584	7.46E+00	3.04759E-05	0	-1
0	14	2.45189	0.839328	-0.00342078	11.1285	0.371138	1.1663	4.21594	0.839166	7.13575	-3.42E-03	4.42E+00	3.77E+01	8.48E-01	8.40E-01	103.01	0	-1.01724	0.0548525	1.32E+01	5.93996E-05	0	-1
0	21	2.42712	0.759006	-0.00342078	11.6285	0.371138	1.1663	4.21594	0.839166	7.13575	-3.42E-03	6.44E+00	5.44E+01	8.48E-01	7.60E-01	107.966	0	-0.538368	0.0758449	1.78E+01	8.24451E-05	0	-1
0	28	2.40267	0.684381	-0.00342078	12.1285	0.371138	1.1663	4.21594	0.839166	7.13575	-3.42E-03	8.34E+00	6.96E+01	8.48E-01	6.85E-01	108.831	0	-0.272741	0.102466	2.12E+01	9.95045E-05	0	-1
0	35	2.37888	0.616938	-0.00341902	12.6838	0.321445	1.11837	4.21594	0.839149	7.12438	-3.42E-03	1.01E+01	8.32E+01	8.48E-01	6.18E-01	108.105	0	-0.131227	0.133924	2.38E+01	0.000111883	0	-1
0	42	2.35508	0.554616	-0.00341902	13.2483	0.321445	1.11837	4.21594	0.839149	7.12438	-3.42E-03	1.18E+01	9.58E+01	8.48E-01	5.55E-01	107.174	0	-0.056006	0.170358	2.56E+01	0.00012094	0	-1
0	49	2.33217	0.499472	-0.00341902	13.8128	0.321445	1.11837	4.21594	0.839149	7.12438	-3.42E-03	1.34E+01	1.07E+02	8.48E-01	5.00E-01	107.034	0	-0.0224243	0.209681	2.69E+01	0.00012714	0	-1
0	56	2.30732	0.444829	-0.00341902	14.3773	0.321445	1.11837	4.21594	0.839149	7.12438	-3.42E-03	1.51E+01	1.19E+02	8.48E-01	4.45E-01	108.595	0	-0.0130448	0.256589	2.78E+01	0.000131674	0	-1
0	63	2.27456	0.395567	-0.0054598	14.7	0.739352	2.32341	7.04385	0.839294	7.22005	-5.46E-03	1.69E+01	1.31E+02	8.48E-01	3.96E-01	113.047	0	-0.0118481	0.3022	2.83E+01	0.000134251	0	-1
